"","Row.names","q1","q2","q3","q4","q5","q6","q7","q8","q9","q10","q11","q12","q13","q14","q15","q16","q17","q18","q19","q20","age","gender","Extraverion","Openness","Test","Test2"
"1","Case0001",1,5,3,4,3,1,4,3,3,3,3,1,4,2,5,2,1,2,3,3,21,"Female",3.9,2.7,3.2,2.8
"2","Case0002",4,2,2,4,5,1,2,2,2,4,4,3,2,2,2,2,4,4,1,4,38,"Female",2.6,2.8,3.4,2.6
"3","Case0003",2,5,1,3,4,3,5,4,1,5,2,1,3,5,4,2,2,4,5,1,23,"Female",4.3,2.5,3,3
"4","Case0004",2,3,2,3,1,4,5,5,3,2,2,4,2,2,5,3,4,2,2,1,29,"Female",3.1,2.4,2.2,3.8
"5","Case0005",4,1,4,4,2,5,1,1,4,2,2,4,3,3,3,1,2,3,2,2,23,"Male",2.5,3.8,3,3
"6","Case0006",2,4,5,NA,5,2,3,4,4,3,2,2,4,3,1,2,3,3,1,1,35,"Male",3.3,2.8,3.8,2.2
"7","Case0007",2,2,1,4,3,4,4,2,1,4,2,2,5,3,2,3,4,3,1,2,27,"Male",3.2,2.6,2.4,3.6
"8","Case0008",1,3,4,4,1,3,5,2,1,3,1,5,3,3,2,5,2,4,2,1,37,"Female",3,3.3,2.6,3.4
"9","Case0009",2,1,1,2,3,5,4,5,2,4,2,5,5,3,4,2,4,4,2,4,37,"Male",3.5,2.9,1.8,4.2
"10","Case0010",2,4,1,3,4,2,4,4,3,5,2,4,5,2,2,2,1,2,4,3,21,"Female",4,2.7,2.8,3.2
"11","Case0011",5,4,2,3,3,3,4,2,4,2,5,5,2,3,4,4,5,5,2,4,27,"Male",2.5,3.4,3.4,2.6
"12","Case0012",3,4,2,5,4,3,1,3,5,1,2,4,4,4,5,1,1,4,NA,3,21,"Male",3.4,3.8,3.6,2.4
"13","Case0013",5,4,2,4,5,2,5,4,4,4,1,2,3,5,3,4,3,4,4,4,30,"Male",3.6,3.2,4,2
"14","Case0014",1,3,3,4,5,5,3,2,3,3,3,5,1,1,4,4,3,2,1,5,34,"Female",3,3.5,3.2,2.8
"15","Case0015",4,2,2,3,2,1,4,4,3,2,3,1,4,1,3,2,1,4,4,4,36,"Female",3,2.6,2.6,3.4
"16","Case0016",1,3,4,2,4,3,5,1,4,4,4,5,5,3,3,2,2,5,4,3,37,"Male",3.9,3.8,2.8,3.2
"17","Case0017",4,3,2,1,4,4,5,4,1,NA,1,2,NA,3,3,4,3,4,2,4,30,"Male",3.2,2.6,2.8,3.2
"18","Case0018",3,2,2,4,3,3,5,2,1,3,4,3,3,2,5,1,4,NA,4,1,26,"Male",3.5,2.5,2.8,3.2
"19","Case0019",1,4,5,4,4,1,4,5,3,3,2,NA,3,3,2,3,2,4,3,4,37,"Female",3.5,3.2,3.6,2.4
"20","Case0020",3,1,4,3,2,3,4,5,3,5,2,1,2,5,1,2,4,3,4,5,19,"Female",3,3,2.6,3.4
"21","Case0021",4,4,5,2,3,2,4,4,2,1,4,3,2,NA,5,2,2,2,4,5,26,"Female",3.1,3,3.6,2.4
"22","Case0022",2,4,2,2,4,1,2,2,2,3,2,2,3,2,2,2,2,3,4,3,38,"Male",3.4,2.5,2.8,3.2
"23","Case0023",1,1,4,5,3,4,2,5,1,3,4,4,3,4,4,4,2,4,4,4,35,"Male",2.9,3.5,2.8,3.2
"24","Case0024",2,3,2,1,2,2,4,2,5,4,1,4,2,3,4,1,2,2,2,3,23,"Male",3.5,3,2,4
