"case_id","gender","country","at1","at2","at3","at4","pb1","sn1","sn2","sn3","sn4","pb2","pb3","pb4","bi1","bi2","bi3","be1","be2","be3"
"Case 1","Male","Country C",6,5,4,4,5,6,8,4,6,6,6,5,4,2,5,4,3,6
"Case 2","Male","Country C",4,6,5,5,5,5,6,5,6,6,6,5,3,3,4,4,4,5
"Case 3","Female","Country C",6,5,5,6,4,5,7,4,6,6,6,5,3,2,4,2,2,4
"Case 4","Male","Country B",5,5,5,4,4,5,6,5,6,6,6,5,2,3,5,3,3,5
"Case 5","Female","Country A",6,6,6,4,6,5,6,4,6,7,6,5,4,3,4,4,4,6
"Case 6","Female","Country A",6,4,5,5,4,4,6,5,5,6,4,7,2,4,4,3,3,4
"Case 7","Female","Country A",5,5,6,4,4,4,6,6,5,6,5,6,2,3,5,2,3,3
"Case 8","Male","Country A",5,5,7,5,4,4,7,4,5,4,5,6,3,3,4,4,4,4
"Case 9","Female","Country B",4,5,4,4,4,5,6,5,6,5,5,6,3,3,4,3,3,4
"Case 10","Female","Country C",6,4,6,4,5,4,5,4,6,5,6,4,3,4,4,3,3,5
"Case 11","Female","Country B",6,5,5,5,5,4,6,5,5,6,5,5,3,3,4,4,3,5
"Case 12","Male","Country B",5,6,6,4,5,4,5,5,5,6,6,4,4,2,5,3,3,3
"Case 13","Female","Country A",6,4,6,5,5,4,6,6,6,7,7,5,3,2,5,3,3,4
"Case 14","Male","Country A",6,5,7,5,5,2,4,7,4,6,7,6,2,3,5,4,4,5
"Case 15","Female","Country C",6,5,6,5,4,5,7,5,6,5,6,5,3,3,4,3,4,5
"Case 16","Male","Country B",6,4,6,4,4,4,5,5,5,7,6,5,3,3,4,3,2,4
"Case 17","Male","Country B",5,6,5,4,5,6,8,4,7,7,6,5,3,4,5,3,3,5
"Case 18","Male","Country B",5,5,5,4,4,5,7,5,5,6,5,6,3,3,4,3,3,5
"Case 19","Female","Country A",7,5,6,4,4,4,5,5,5,6,7,5,3,3,5,2,3,4
"Case 20","Male","Country A",6,6,4,4,4,4,6,4,5,5,5,5,2,4,4,3,3,3
